collection;deck;question;correct_answer;wrong_answer_1;wrong_answer_2;wrong_answer_3;hint;explanation;level;difficulty;tags;source;cloze_text;accepted_answers;cloze_answers;cloze_word_bank
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Pourquoi l'Europe a-t-elle d'abord écarté la protection principale par brevet pour les logiciels ?;Parce qu'un monopole de 20 ans risquait d'entraver l'innovation;Parce que le brevet est gratuit et automatique;Parce que le brevet protège moins que le droit d'auteur;Parce que les logiciels n'ont aucune valeur économique;Revois le cadre juridique général de cette protection.;Le brevet confère un monopole fort de 20 ans. Dans un secteur logiciel rapide, cette durée peut bloquer les améliorations et concentrer le marché.;2;moyen;brevet|innovation;2.2 - Droit d'auteur - Bases légales et nature;L'Europe a craint qu'un monopole de {{20 ans}} bloque l'innovation logicielle.;20 ans|vingt ans;20 ans;20 ans|Parce que le brevet est gratuit et automatique|Parce que le brevet protège moins que le droit d'auteur|Parce que les logiciels n'ont aucune valeur économique
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Que sont les brevets trolls dans le document ?;Des sociétés accumulant des brevets sans produire elles-mêmes;Des développeurs publiant leur code en open source;Des juges spécialisés en propriété intellectuelle;Des clients qui achètent des licences;-;Les brevets trolls sont décrits comme des sociétés qui accumulent des brevets sans produire elles-mêmes. Le document les présente comme un frein potentiel au développement logiciel.;1;facile;brevets-trolls|brevet;2.2 - Droit d'auteur - Bases légales et nature;Les brevets trolls accumulent des brevets {{sans produire elles-mêmes}}.;sans produire elles-mêmes|sociétés accumulant des brevets;sans produire elles-mêmes;sans produire elles-mêmes|Des développeurs publiant leur code en open source|Des juges spécialisés en propriété intellectuelle|Des clients qui achètent des licences
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Pourquoi un logiciel seul n'est-il généralement pas brevetable en Europe ?;Parce qu'il repose souvent sur des principes mathématiques et algorithmiques;Parce qu'il est toujours sans valeur;Parce qu'il est une marque;Parce qu'il est toujours dans le domaine public;Revois le cadre juridique général de cette protection.;Un brevet protège une solution technique à un problème technique. Un logiciel seul est souvent une suite logique d'instructions reposant sur des principes mathématiques et algorithmiques.;2;moyen;brevet|algorithme;2.2 - Droit d'auteur - Bases légales et nature;Un logiciel seul n'est généralement pas brevetable car il repose sur {{des principes mathématiques et algorithmiques}}.;principes mathématiques et algorithmiques|algorithmes;des principes mathématiques et algorithmiques;des principes mathématiques et algorithmiques|Parce qu'il est toujours sans valeur|Parce qu'il est une marque|Parce qu'il est toujours dans le domaine public
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quel article de la CBE est cité pour l'exclusion des logiciels en tant que tels ?;L'article 52 CBE;L'article 57 CBE;L'article XI.299 CDE;L'article XI.166 CDE;-;Le document cite l'article 52 de la Convention sur le brevet européen. Il exclut notamment les programmes d'ordinateur considérés en tant que tels.;1;facile;cbe|article-52;2.2 - Droit d'auteur - Bases légales et nature;L'exclusion des logiciels en tant que tels est liée à {{l'article 52 CBE}}.;article 52 CBE|52 CBE;l'article 52 CBE;l'article 52 CBE|L'article 57 CBE|L'article XI.299 CDE|L'article XI.166 CDE
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quelle différence le document relève-t-il entre les États-Unis et l'Europe sur les brevets logiciels ?;Les États-Unis ont admis plus largement les brevets logiciels, l'Europe est plus restrictive;L'Europe admet tous les brevets logiciels;Les États-Unis interdisent toute protection;Les deux systèmes refusent toute protection;Revois le cadre juridique général de cette protection.;Le document indique que la jurisprudence américaine a mené à une explosion des brevets logiciels. L'Europe a adopté une approche plus restrictive pour éviter ces dérives.;2;moyen;usa|europe|brevet;2.2 - Droit d'auteur - Bases légales et nature;Les États-Unis ont admis plus largement {{les brevets logiciels}}.;brevets logiciels|les brevets logiciels;les brevets logiciels;les brevets logiciels|L'Europe admet tous les brevets logiciels|Les États-Unis interdisent toute protection|Les deux systèmes refusent toute protection
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quelle est la seule condition de protection d'un logiciel par droit d'auteur ?;L'originalité;La nouveauté;L'utilité technique;Le dépôt officiel;-;Le document insiste sur le fait que l'originalité est la seule condition de protection du logiciel par droit d'auteur. Aucune nouveauté ni utilité technique n'est requise.;1;facile;originalite|condition;2.2 - Droit d'auteur - Conditions et étendue;La seule condition de protection est {{l'originalité}}.;originalité|l'originalité;l'originalité;l'originalité|La nouveauté|L'utilité technique|Le dépôt officiel
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Que signifie l'originalité d'un logiciel ?;Qu'il reflète un effort créatif personnel de son auteur;Qu'il soit inédit au monde;Qu'il soit utile industriellement;Qu'il soit déposé à l'OEB;-;L'originalité suppose une création intellectuelle propre à l'auteur. Elle implique un apport personnel et des choix créatifs.;1;facile;originalite|definition;2.2 - Droit d'auteur - Conditions et étendue;Un logiciel est original s'il reflète {{un effort créatif personnel}}.;effort créatif personnel|création intellectuelle propre;un effort créatif personnel;un effort créatif personnel|Qu'il soit inédit au monde|Qu'il soit utile industriellement|Qu'il soit déposé à l'OEB
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);La nouveauté est-elle nécessaire en droit d'auteur logiciel ?;Non, seule l'originalité est requise;Oui, comme en brevet;Oui, mais seulement pour le code objet;Oui, si le logiciel est vendu;-;Contrairement au brevet, la nouveauté n'est pas exigée. Un logiciel peut être proche d'un autre s'il présente une expression propre.;1;facile;nouveaute|droit-auteur;2.2 - Droit d'auteur - Conditions et étendue;En droit d'auteur logiciel, la nouveauté {{n'est pas requise}}.;n'est pas requise|non;n'est pas requise;n'est pas requise|Oui, comme en brevet|Oui, mais seulement pour le code objet|Oui, si le logiciel est vendu
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Un simple script Python peut-il être protégé ?;Oui, s'il résulte d'une création intellectuelle originale;Non, un script court n'est jamais protégé;Oui, seulement s'il est breveté;Non, sauf dépôt officiel;Revois ce qui est protégé et ce qui reste trop standard.;Le document donne l'exemple d'un script Python, comme un convertisseur de devises. Il peut être protégé s'il résulte d'une création intellectuelle originale.;2;moyen;python|originalite;2.2 - Droit d'auteur - Conditions et étendue;Un script Python peut être protégé s'il est une {{création intellectuelle originale}}.;création intellectuelle originale|création originale;création intellectuelle originale;création intellectuelle originale|Non, un script court n'est jamais protégé|Oui, seulement s'il est breveté|Non, sauf dépôt officiel
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quels éléments préparatoires peuvent être protégés avec le logiciel ?;Les diagrammes UML, plans d'architecture et maquettes d'interfaces;Les factures du développeur;Les idées abstraites non exprimées;Les contrats de travail;-;Le matériel de conception préparatoire est inclus dans la protection. Le document cite les diagrammes UML, les plans d'architecture et les maquettes d'interfaces graphiques.;1;facile;materiel-preparatoire|uml;2.2 - Droit d'auteur - Conditions et étendue;Le matériel préparatoire inclut {{les diagrammes UML, plans d'architecture et maquettes d'interfaces}}.;diagrammes UML|plans d'architecture|maquettes d'interfaces;les diagrammes UML, plans d'architecture et maquettes d'interfaces;les diagrammes UML, plans d'architecture et maquettes d'interfaces|Les factures du développeur|Les idées abstraites non exprimées|Les contrats de travail
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quels codes sont protégés par le droit d'auteur logiciel ?;Le code source et le code objet;Uniquement le code source;Uniquement le code objet;Uniquement le pseudocode;-;Le document indique que le code final est protégé, aussi bien le code source que le code objet. Ces éléments sont des formes d'expression du programme.;1;facile;code-source|code-objet;2.2 - Droit d'auteur - Conditions et étendue;Le droit d'auteur protège le {{code source et le code objet}}.;code source et code objet|code source|code objet;code source et le code objet;code source et le code objet|Uniquement le code source|Uniquement le code objet|Uniquement le pseudocode
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quel apport l'auteur doit-il avoir réalisé pour que le logiciel soit original ?;Un apport personnel avec des choix créatifs;Une automatisation standardisée;Une reproduction fidèle d'un modèle;Une publication sur GitHub;-;L'originalité suppose que l'auteur ne s'est pas contenté d'une reproduction ou d'une automatisation standardisée. Il doit avoir fait des choix créatifs personnels.;1;facile;apport-personnel|choix-creatifs;2.2 - Droit d'auteur - Conditions et étendue;L'originalité suppose {{un apport personnel avec des choix créatifs}}.;apport personnel|choix créatifs;un apport personnel avec des choix créatifs;un apport personnel avec des choix créatifs|Une automatisation standardisée|Une reproduction fidèle d'un modèle|Une publication sur GitHub
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Un logiciel généré automatiquement à partir d'un modèle sans modification créative est-il protégé ?;Non, car il manque d'apport créatif personnel;Oui, tout logiciel est original;Oui, s'il est utilisé en entreprise;Non, uniquement parce qu'il est inutile;Revois ce qui est protégé et ce qui reste trop standard.;Le document donne cet exemple comme cas non protégé. L'absence de modification créative empêche de satisfaire le critère d'originalité.;2;moyen;automatisation|originalite;2.2 - Droit d'auteur - Conditions et étendue;Un logiciel généré automatiquement sans modification créative manque de {{apport créatif personnel}}.;apport créatif personnel|originalité;apport créatif personnel;apport créatif personnel|Oui, tout logiciel est original|Oui, s'il est utilisé en entreprise|Non, uniquement parce qu'il est inutile
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Comment le juge apprécie-t-il l'originalité ?;Au cas par cas, à partir d'indices concrets;Par une formule mathématique;Uniquement selon le prix;Uniquement selon la date de dépôt;Revois ce qui est protégé et ce qui reste trop standard.;Le droit ne fournit pas une définition mathématique de l'originalité. Le juge examine donc le logiciel au cas par cas selon des indices concrets.;2;moyen;juge|originalite;2.2 - Droit d'auteur - Conditions et étendue;Le juge apprécie l'originalité {{au cas par cas}}.;au cas par cas|indices concrets;au cas par cas;au cas par cas|Par une formule mathématique|Uniquement selon le prix|Uniquement selon la date de dépôt
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quel indice peut résulter de l'analyse du code source et de l'architecture ?;Des choix uniques et subjectifs plutôt que des solutions logiques évidentes;Le nombre exact de lignes de code;Le prix de vente;Le nom commercial du logiciel;Revois ce qui est protégé et ce qui reste trop standard.;Le juge peut comparer le code source à des programmes similaires. Des choix uniques et subjectifs plaident pour l'originalité, contrairement aux solutions standardisées évidentes.;2;moyen;code-source|architecture|juge;2.2 - Droit d'auteur - Conditions et étendue;L'analyse du code cherche des {{choix uniques et subjectifs}}.;choix uniques et subjectifs|effort créatif;choix uniques et subjectifs;choix uniques et subjectifs|Le nombre exact de lignes de code|Le prix de vente|Le nom commercial du logiciel
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);L'originalité peut-elle se trouver ailleurs que dans le code pur ?;Oui, dans la structure, l'agencement ou l'interface du logiciel;Non, uniquement dans le code;Oui, seulement dans le logo;Non, uniquement dans la nouveauté;Revois ce qui est protégé et ce qui reste trop standard.;L'originalité ne se trouve pas forcément dans le code pur. Elle peut aussi résulter de l'organisation du logiciel, de son agencement ou de son interface graphique.;2;moyen;structure|interface|originalite;2.2 - Droit d'auteur - Conditions et étendue;L'originalité peut aussi se trouver dans {{la structure, l'agencement ou l'interface}}.;structure|agencement|interface;la structure, l'agencement ou l'interface;la structure, l'agencement ou l'interface|Non, uniquement dans le code|Oui, seulement dans le logo|Non, uniquement dans la nouveauté
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Dans quel cas une interface graphique peut-elle être protégée ?;Si elle reflète un effort créatif;Si elle contient seulement un menu générique;Si elle est copiée d'un modèle;Si elle est stockée sur serveur;-;Une interface graphique peut être protégée si elle traduit un effort créatif. Un simple menu déroulant générique ne suffit pas.;1;facile;interface|effort-creatif;2.2 - Droit d'auteur - Conditions et étendue;Une interface graphique est protégée si elle reflète {{un effort créatif}}.;effort créatif|créativité;un effort créatif;un effort créatif|Si elle contient seulement un menu générique|Si elle est copiée d'un modèle|Si elle est stockée sur serveur
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Pourquoi un site e-commerce créé avec un CMS sans modification n'est-il pas original ?;Parce qu'il utilise des composants connus sans personnalisation créative;Parce qu'un site e-commerce n'est jamais protégé;Parce qu'un CMS est toujours breveté;Parce qu'il n'a pas été vendu dans l'UE;Revois ce qui est protégé et ce qui reste trop standard.;Le document oppose le simple assemblage de composants connus au travail d'adaptation et de personnalisation. Sans modification créative, l'originalité fait défaut.;2;moyen;cms|site-ecommerce;2.2 - Droit d'auteur - Conditions et étendue;Un site CMS sans modification manque de {{personnalisation créative}}.;personnalisation créative|personnalisation;personnalisation créative;personnalisation créative|Parce qu'un site e-commerce n'est jamais protégé|Parce qu'un CMS est toujours breveté|Parce qu'il n'a pas été vendu dans l'UE
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Pourquoi un plugin WordPress personnalisé peut-il être original ?;Parce qu'il peut contenir des fonctionnalités uniques;Parce que WordPress rend tout brevetable;Parce qu'un plugin appartient toujours au client;Parce qu'il est nécessairement long;-;Un plugin WordPress personnalisé peut traduire un effort créatif s'il contient des fonctionnalités uniques. C'est l'adaptation personnelle qui peut fonder l'originalité.;1;facile;wordpress|plugin;2.2 - Droit d'auteur - Conditions et étendue;Un plugin WordPress personnalisé peut être original s'il contient {{des fonctionnalités uniques}}.;fonctionnalités uniques|des fonctionnalités uniques;des fonctionnalités uniques;des fonctionnalités uniques|Parce que WordPress rend tout brevetable|Parce qu'un plugin appartient toujours au client|Parce qu'il est nécessairement long
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quelles formes d'expression du logiciel sont protégées ?;Le code, l'architecture originale, l'interface créative, les manuels et documentations;Les idées abstraites et principes;Les fonctionnalités et formats de fichiers seuls;Les méthodes mathématiques pures;Revois ce qui est protégé et ce qui reste trop standard.;La protection couvre les formes d'expression du logiciel. Le document cite le code source et objet, l'architecture originale, l'interface créative et les manuels ou documentations.;2;moyen;etendue|expression;2.2 - Droit d'auteur - Conditions et étendue;Sont protégés : {{le code, l'architecture originale, l'interface créative, les manuels et documentations}}.;code|architecture originale|interface créative|manuels;le code, l'architecture originale, l'interface créative, les manuels et documentations;le code, l'architecture originale, l'interface créative, les manuels et documentations|Les idées abstraites et principes|Les fonctionnalités et formats de fichiers seuls|Les méthodes mathématiques pures
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Les manuels et documentations peuvent-ils être protégés ?;Oui, en tant qu'oeuvres littéraires;Non, jamais;Oui, uniquement par brevet;Non, sauf s'ils contiennent le code objet;-;Le document cite les manuels et documentations parmi les éléments protégés. Ils peuvent relever de la protection des oeuvres littéraires.;1;facile;documentation|manuel;2.2 - Droit d'auteur - Conditions et étendue;Les manuels et documentations peuvent être protégés comme {{oeuvres littéraires}}.;oeuvres littéraires|oeuvre littéraire;oeuvres littéraires;oeuvres littéraires|Non, jamais|Oui, uniquement par brevet|Non, sauf s'ils contiennent le code objet
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quelle affaire CJUE a clarifié la non-protection des fonctionnalités, langages de programmation et formats de fichiers ?;SAS Institute c. World Programming Ltd;Top System c. Etat belge;Daily Mail;Polbud;-;L'arrêt SAS Institute c. World Programming Ltd du 2 mai 2012 clarifie plusieurs limites de la protection des programmes d'ordinateur. Il distingue les formes d'expression protégées des éléments fonctionnels non protégés.;1;facile;sas-institute|cjue;2.2 - Droit d'auteur - SAS Institute et éléments non protégés;L'affaire {{SAS Institute c. World Programming Ltd}} clarifie ces limites.;SAS Institute|SAS Institute c. World Programming Ltd;SAS Institute c. World Programming Ltd;SAS Institute c. World Programming Ltd|Top System c. Etat belge|Daily Mail|Polbud
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Selon SAS Institute, la fonctionnalité d'un programme est-elle protégée par droit d'auteur ?;Non, elle n'est pas une forme d'expression protégée;Oui, toujours;Oui, si elle est utile;Oui, si elle est commerciale;Revois la limite entre expression protégée et élément fonctionnel.;La CJUE a jugé qu'une fonctionnalité de programme ne constitue pas une forme d'expression protégée. Le droit d'auteur protège l'expression du programme, pas la fonction comme telle.;2;moyen;fonctionnalite|non-protection;2.2 - Droit d'auteur - SAS Institute et éléments non protégés;La fonctionnalité d'un programme {{n'est pas une forme d'expression protégée}}.;non|pas protégée|n'est pas protégée;n'est pas une forme d'expression protégée;n'est pas une forme d'expression protégée|Oui, toujours|Oui, si elle est utile|Oui, si elle est commerciale
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Selon SAS Institute, un langage de programmation est-il protégé par droit d'auteur comme forme d'expression du programme ?;Non;Oui, toujours;Oui, s'il est utilisé dans l'UE;Oui, s'il est mentionné dans un contrat;-;La CJUE considère que le langage de programmation ne constitue pas une forme d'expression protégée du programme. Cela évite de monopoliser un outil de programmation.;1;facile;langage-programmation|non-protection;2.2 - Droit d'auteur - SAS Institute et éléments non protégés;Un langage de programmation {{n'est pas protégé}} comme expression du programme.;non|n'est pas protégé|pas protégé;n'est pas protégé;n'est pas protégé|Oui, toujours|Oui, s'il est utilisé dans l'UE|Oui, s'il est mentionné dans un contrat
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Selon SAS Institute, les formats de fichiers de données sont-ils protégés comme formes d'expression ?;Non;Oui, toujours;Oui, s'ils sont utiles;Oui, s'ils sont stockés en RAM;Revois la limite entre expression protégée et élément fonctionnel.;Les formats de fichiers de données utilisés pour exploiter certaines fonctions ne constituent pas une forme d'expression protégée. Ils ne sont donc pas protégés par droit d'auteur en tant que tels.;2;moyen;formats-fichiers|non-protection;2.2 - Droit d'auteur - SAS Institute et éléments non protégés;Les formats de fichiers de données {{ne sont pas protégés}} comme formes d'expression.;non|ne sont pas protégés;ne sont pas protégés;ne sont pas protégés|Oui, toujours|Oui, s'ils sont utiles|Oui, s'ils sont stockés en RAM
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quelle distinction générale illustre la pyramide du document ?;L'expression du programme peut être protégée, l'idée ou le principe ne l'est pas;L'idée est protégée mais le code ne l'est pas;Tout élément logiciel est protégé;Seule la fonctionnalité est protégée;Revois la limite entre expression protégée et élément fonctionnel.;La pyramide montre une gradation entre les éléments exprimés du programme et les idées ou principes. Les formes d'expression comme le code peuvent être protégées, tandis que les idées et principes ne le sont pas.;2;moyen;idee-expression|pyramide;2.2 - Droit d'auteur - SAS Institute et éléments non protégés;La pyramide montre que {{l'expression peut être protégée mais l'idée ne l'est pas}}.;expression protégée, idée non protégée|idée non protégée;l'expression peut être protégée mais l'idée ne l'est pas;l'expression peut être protégée mais l'idée ne l'est pas|L'idée est protégée mais le code ne l'est pas|Tout élément logiciel est protégé|Seule la fonctionnalité est protégée
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Les idées et principes à la base des interfaces sont-ils protégés par droit d'auteur ?;Non;Oui, comme le code source;Oui, comme oeuvre littéraire;Oui, pendant 10 ans;-;Le document précise que les idées et principes à la base de tout élément du programme, y compris ceux à la base de ses interfaces, ne sont pas protégés par droit d'auteur.;1;facile;idees|interfaces;2.2 - Droit d'auteur - SAS Institute et éléments non protégés;Les idées et principes à la base des interfaces {{ne sont pas protégés}}.;non|ne sont pas protégés|pas protégés;ne sont pas protégés;ne sont pas protégés|Oui, comme le code source|Oui, comme oeuvre littéraire|Oui, pendant 10 ans
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Qui est en principe l'auteur d'un programme d'ordinateur ?;La personne physique qui a réellement créé le code;La société qui vend le logiciel;Le client qui a commandé le logiciel;L'utilisateur qui installe le programme;-;Le document indique que l'auteur du programme est la personne physique qui a créé le code. Une société peut détenir des droits patrimoniaux, mais elle n'est pas l'auteur au sens strict.;1;facile;auteur|personne-physique;2.2 - Droit d'auteur - Titularité;L'auteur d'un programme est {{la personne physique qui a réellement créé le code}}.;personne physique|développeur|créateur humain;la personne physique qui a réellement créé le code;la personne physique qui a réellement créé le code|La société qui vend le logiciel|Le client qui a commandé le logiciel|L'utilisateur qui installe le programme
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Une société peut-elle être l'auteur d'un logiciel au sens strict ?;Non, l'auteur est toujours une personne physique;Oui, si elle finance le logiciel;Oui, si elle emploie le développeur;Oui, si le logiciel porte son nom;-;L'auteur est toujours un être humain. La société peut cependant devenir titulaire des droits patrimoniaux par contrat ou par présomption dans le cadre salarié.;1;facile;auteur|societe;2.2 - Droit d'auteur - Titularité;Une société ne peut pas être auteur car l'auteur est toujours {{une personne physique}}.;personne physique|un être humain;une personne physique;une personne physique|Oui, si elle finance le logiciel|Oui, si elle emploie le développeur|Oui, si le logiciel porte son nom
