collection;deck;question;correct_answer;wrong_answer_1;wrong_answer_2;wrong_answer_3;hint;explanation;level;difficulty;tags;source;cloze_text;accepted_answers;cloze_answers;cloze_word_bank
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle condition de connaissance est exigée par la DMCA pour bénéficier du safe harbor ?;Ne pas avoir connaissance des contenus illicites;Contrôler tous les contenus avant leur mise en ligne;Ignorer les notifications des titulaires de droits;Valider juridiquement chaque contenu publié;La condition porte sur la connaissance de l’illicéité.;La DMCA exige notamment que les prestataires n’aient pas connaissance des contenus illicites.;2;moyen;dmca|connaissance;Chapitre 3 - p. 3;Pour bénéficier du safe harbor, le prestataire ne doit pas avoir {{connaissance des contenus illicites}}.;connaissance des contenus illicites|connaissance de contenus illicites;connaissance des contenus illicites;connaissance des contenus illicites|Contrôler tous les contenus avant leur mise en ligne|Ignorer les notifications des titulaires de droits|Valider juridiquement chaque contenu publié
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Que doit faire un prestataire après notification selon la DMCA ?;Agir promptement pour retirer le contenu;Attendre une décision européenne obligatoire;Maintenir le contenu jusqu’à une plainte judiciaire;Transférer le contenu vers un autre serveur;Pense à la réaction attendue après notification.;La DMCA exige que le prestataire agisse promptement pour retirer le contenu après notification.;2;moyen;dmca|notification|retrait;Chapitre 3 - p. 3;Après notification, le prestataire doit {{agir promptement pour retirer le contenu}}.;agir promptement pour retirer le contenu|retirer rapidement le contenu;agir promptement pour retirer le contenu;agir promptement pour retirer le contenu|Attendre une décision européenne obligatoire|Maintenir le contenu jusqu’à une plainte judiciaire|Transférer le contenu vers un autre serveur
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle influence la DMCA a-t-elle eue sur le modèle européen ?;Elle a inspiré le modèle européen de responsabilité limitée des hébergeurs;Elle a remplacé directement les directives européennes;Elle a supprimé le régime européen de notice and action;Elle a imposé une responsabilité pénale uniforme aux hébergeurs;Regarde la directive e-commerce et le DSA.;La logique de la DMCA a inspiré le modèle européen de responsabilité limitée des hébergeurs, notamment la directive e-commerce puis le DSA.;2;moyen;dmca|europe|hebergeurs;Chapitre 3 - p. 3;La logique de la DMCA a inspiré {{le modèle européen de responsabilité limitée des hébergeurs}}.;modèle européen de responsabilité limitée des hébergeurs|responsabilité limitée des hébergeurs;le modèle européen de responsabilité limitée des hébergeurs;le modèle européen de responsabilité limitée des hébergeurs|Elle a remplacé directement les directives européennes|Elle a supprimé le régime européen de notice and action|Elle a imposé une responsabilité pénale uniforme aux hébergeurs
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle directive européenne fonde le régime de responsabilité limitée des prestataires techniques ?;La directive 2000/31/CE sur le commerce électronique;La directive 2001/29/CE sur la société de l'information;La directive 2019/790/UE sur le marché unique numérique;Le Digital Services Act adopté en octobre 2022;-;La directive sur le commerce électronique prévoit aux articles 12 à 15 un régime de responsabilité limitée des prestataires techniques.;1;facile;directive-ecommerce|responsabilite;Chapitre 3 - p. 4;Le régime de responsabilité limitée vient de la {{directive 2000/31/CE sur le commerce électronique}}.;directive 2000/31/CE|directive e-commerce|directive commerce électronique;directive 2000/31/CE sur le commerce électronique;directive 2000/31/CE sur le commerce électronique|La directive 2001/29/CE sur la société de l'information|La directive 2019/790/UE sur le marché unique numérique|Le Digital Services Act adopté en octobre 2022
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quels articles de la directive e-commerce concernent la responsabilité limitée ?;Les articles 12 à 15;Les articles 4 à 6;Les articles 19 à 28;Les articles 33 à 43;-;Le document indique que les articles 12 à 15 de la directive e-commerce encadrent la responsabilité limitée.;1;facile;directive-ecommerce|articles;Chapitre 3 - p. 4;Les articles {{12 à 15}} de la directive e-commerce concernent la responsabilité limitée.;12 à 15|articles 12 à 15|12-15;12 à 15;12 à 15|Les articles 4 à 6|Les articles 19 à 28|Les articles 33 à 43
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Par quelle loi la directive e-commerce a-t-elle été transposée en Belgique ?;La loi du 11 mars 2003 sur certains aspects juridiques des services de la société de l'information;La loi du 22 mai 2001 relative aux droits voisins des éditeurs de presse;La loi du 17 février 2024 sur les coordinateurs des services numériques;La loi du 8 juin 2000 relative aux plateformes de partage de contenus;Revois la LSSI mentionnée dans le document.;La directive e-commerce a été transposée en droit belge par la loi du 11 mars 2003, appelée LSSI dans le document.;2;moyen;belgique|lssi|directive-ecommerce;Chapitre 3 - p. 4;En Belgique, la directive e-commerce a été transposée par {{la loi du 11 mars 2003}}.;loi du 11 mars 2003|LSSI|loi du 11 mars 2003 sur certains aspects juridiques des services de la société de l'information;la loi du 11 mars 2003;la loi du 11 mars 2003|La loi du 22 mai 2001 relative aux droits voisins des éditeurs de presse|La loi du 17 février 2024 sur les coordinateurs des services numériques|La loi du 8 juin 2000 relative aux plateformes de partage de contenus
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quels articles de la LSSI belge correspondent au régime de responsabilité limitée ?;Les articles 18 à 21;Les articles 12 à 15;Les articles 19 à 28;Les articles 33 à 43;-;Le document précise que la transposition belge se trouve aux articles 18 à 21 de la LSSI, dans le chapitre 6.;1;facile;belgique|lssi|articles;Chapitre 3 - p. 4;Le régime belge correspondant se trouve aux articles {{18 à 21}} de la LSSI.;18 à 21|articles 18 à 21|18-21;18 à 21;18 à 21|Les articles 12 à 15|Les articles 19 à 28|Les articles 33 à 43
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle est la règle de base pour les intermédiaires selon le cadre européen initial ?;Ils ne sont pas responsables des contenus stockés ou transmis, sauf connaissance de l’illicéité et absence d’action prompte;Ils sont toujours responsables des contenus stockés ou transmis, même sans connaissance;Ils ne sont jamais responsables, même après notification correcte;Ils sont responsables uniquement après plainte d’un concurrent commercial;La règle combine irresponsabilité de principe et exception.;Les intermédiaires ne sont pas responsables en principe, mais cette protection tombe s’ils connaissaient l’illicéité et n’ont pas agi promptement.;3;avancé;responsabilite|intermediaires|connaissance;Chapitre 3 - p. 4;Les intermédiaires ne sont pas responsables, sauf s’ils avaient {{connaissance de l’illicéité et n’ont pas agi promptement}}.;connaissance de l’illicéité et n’ont pas agi promptement|connaissance du caractère illicite et absence d’action prompte;connaissance de l’illicéité et n’ont pas agi promptement;connaissance de l’illicéité et n’ont pas agi promptement|Ils sont toujours responsables des contenus stockés ou transmis, même sans connaissance|Ils ne sont jamais responsables, même après notification correcte|Ils sont responsables uniquement après plainte d’un concurrent commercial
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel est l’objectif de la directive 2001/29/CE ?;Adapter le droit d’auteur à l’environnement numérique;Moderniser les sanctions fiscales des plateformes;Créer un régime unique pour les coordinateurs nationaux;Remplacer le DSA dans la modération de contenu;-;La directive 2001/29/CE vise à adapter le droit d’auteur à l’environnement numérique.;1;facile;directive-2001-29|droit-auteur;Chapitre 3 - p. 5;La directive 2001/29/CE vise à {{adapter le droit d’auteur à l’environnement numérique}}.;adapter le droit d’auteur à l’environnement numérique;adapter le droit d’auteur à l’environnement numérique;adapter le droit d’auteur à l’environnement numérique|Moderniser les sanctions fiscales des plateformes|Créer un régime unique pour les coordinateurs nationaux|Remplacer le DSA dans la modération de contenu
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle notion est notamment introduite par la directive 2001/29/CE ?;La communication au public;La très grande plateforme en ligne;Le coordinateur des services numériques;Le représentant légal européen;-;Le document indique que la directive 2001/29/CE introduit notamment la notion de communication au public et les mesures techniques de protection.;1;facile;directive-2001-29|communication-au-public;Chapitre 3 - p. 5;La directive 2001/29/CE introduit notamment {{la communication au public}}.;communication au public|la communication au public;la communication au public;la communication au public|La très grande plateforme en ligne|Le coordinateur des services numériques|Le représentant légal européen
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;À quels prestataires la directive 2001/29/CE peut-elle aussi s’appliquer ?;Aux prestataires qui facilitent la mise en ligne ou l’accès à des contenus protégés;Aux seuls fournisseurs d’accès qui créent eux-mêmes des contenus protégés;Aux uniquement utilisateurs finaux qui achètent des œuvres numériques;Aux tribunaux chargés d’autoriser la publication des contenus;Pense aux acteurs qui facilitent l’accès ou la mise en ligne.;La directive s’applique aussi aux prestataires qui facilitent la mise en ligne ou l’accès à des contenus protégés.;2;moyen;directive-2001-29|prestataires|contenus-proteges;Chapitre 3 - p. 5;La directive s’applique aussi aux prestataires qui {{facilitent la mise en ligne ou l’accès à des contenus protégés}}.;facilitent la mise en ligne ou l’accès à des contenus protégés;facilitent la mise en ligne ou l’accès à des contenus protégés;facilitent la mise en ligne ou l’accès à des contenus protégés|Aux seuls fournisseurs d’accès qui créent eux-mêmes des contenus protégés|Aux uniquement utilisateurs finaux qui achètent des œuvres numériques|Aux tribunaux chargés d’autoriser la publication des contenus
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel est le dilemme réglementaire lié aux intermédiaires numériques ?;Protéger les titulaires de droits sans favoriser une censure privée excessive;Supprimer tout contrôle des plateformes pour préserver leur liberté commerciale;Responsabiliser uniquement les créateurs sans protéger les utilisateurs;Interdire les contenus protégés pour garantir un Internet fermé;Le dilemme oppose protection et liberté.;Le document présente un équilibre difficile : mobiliser les intermédiaires contre les atteintes au droit d’auteur sans les pousser à une censure privée excessive.;3;avancé;dilemme|censure|droits-auteur;Chapitre 3 - p. 6;Le dilemme consiste à protéger les droits sans conduire à {{une censure privée excessive}}.;censure privée excessive|une censure privée excessive;une censure privée excessive;une censure privée excessive|Supprimer tout contrôle des plateformes pour préserver leur liberté commerciale|Responsabiliser uniquement les créateurs sans protéger les utilisateurs|Interdire les contenus protégés pour garantir un Internet fermé
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel équilibre faut-il rechercher dans la régulation des intermédiaires ?;Entre la protection des titulaires de droits et la préservation d’un Internet libre, pluraliste et accessible;Entre la suppression des plateformes et la disparition des droits des créateurs;Entre le pouvoir des annonceurs et la limitation des données personnelles;Entre la fiscalité numérique et la fermeture des réseaux sociaux;Le document cite deux valeurs à équilibrer.;L’enjeu est d’équilibrer la protection des titulaires de droits et la préservation d’un Internet libre, pluraliste et accessible.;2;moyen;equilibre|droits-auteur|internet-libre;Chapitre 3 - p. 6;La régulation doit préserver {{un Internet libre, pluraliste et accessible}} tout en protégeant les droits.;Internet libre, pluraliste et accessible|un Internet libre, pluraliste et accessible;un Internet libre, pluraliste et accessible;un Internet libre, pluraliste et accessible|Entre la suppression des plateformes et la disparition des droits des créateurs|Entre le pouvoir des annonceurs et la limitation des données personnelles|Entre la fiscalité numérique et la fermeture des réseaux sociaux
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Pourquoi les règles européennes des années 2010 étaient-elles jugées inadaptées ?;Elles étaient inadaptées à l’économie numérique et à la circulation massive de contenus;Elles interdisaient déjà toute circulation de contenus sur Internet;Elles donnaient une rémunération excessive aux créateurs et éditeurs;Elles supprimaient toutes les obligations des grandes plateformes;Pense au Web 2.0 et aux contenus massivement partagés.;Le document explique que les règles étaient considérées comme inadaptées à l’économie numérique, notamment à la circulation massive de contenus en ligne.;2;moyen;reforme|economie-numerique|contenus;Chapitre 3 - p. 7;Dans les années 2010, les règles étaient jugées inadaptées à {{l’économie numérique et la circulation massive de contenus}}.;économie numérique et circulation massive de contenus|l’économie numérique et la circulation massive de contenus;l’économie numérique et la circulation massive de contenus;l’économie numérique et la circulation massive de contenus|Elles interdisaient déjà toute circulation de contenus sur Internet|Elles donnaient une rémunération excessive aux créateurs et éditeurs|Elles supprimaient toutes les obligations des grandes plateformes
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel déséquilibre économique justifiait une réforme européenne ?;Les créateurs et éditeurs étaient peu ou mal rémunérés alors que les plateformes profitaient de leurs œuvres;Les plateformes étaient peu rémunérées alors que les créateurs contrôlaient la publicité;Les fournisseurs d’accès recevaient tous les revenus générés par les œuvres;Les utilisateurs finaux rémunéraient directement les autorités nationales;Pense au profit tiré via la publicité et les données.;Le document souligne que les créateurs et éditeurs étaient peu ou mal rémunérés, tandis que les plateformes profitaient des œuvres via la publicité et les données.;2;moyen;reforme|remuneration|plateformes;Chapitre 3 - p. 7;Le déséquilibre venait du fait que les plateformes {{tiraient profit des œuvres via la publicité et les données}}.;tiraient profit des œuvres via la publicité et les données|profitaient des œuvres via publicité et données;tiraient profit des œuvres via la publicité et les données;tiraient profit des œuvres via la publicité et les données|Les plateformes étaient peu rémunérées alors que les créateurs contrôlaient la publicité|Les fournisseurs d’accès recevaient tous les revenus générés par les œuvres|Les utilisateurs finaux rémunéraient directement les autorités nationales
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quels objectifs le législateur européen poursuivait-il avec la réforme ?;Renforcer les droits des créateurs, responsabiliser les plateformes et adapter les règles au Web 2.0;Réduire les droits des créateurs, exonérer les plateformes et limiter les contenus générés;Supprimer les licences, interdire les filtres et remplacer les autorités nationales;Privatiser les recours judiciaires, supprimer les notifications et bloquer les agrégateurs;Les objectifs sont trois axes principaux.;Le législateur voulait renforcer les droits des créateurs, responsabiliser les plateformes et adapter les règles au Web 2.0.;2;moyen;reforme|web-2-0|plateformes;Chapitre 3 - p. 7;La réforme vise à {{renforcer les droits des créateurs, responsabiliser les plateformes et adapter les règles au Web 2.0}}.;renforcer les droits des créateurs, responsabiliser les plateformes et adapter les règles au Web 2.0;renforcer les droits des créateurs, responsabiliser les plateformes et adapter les règles au Web 2.0;renforcer les droits des créateurs, responsabiliser les plateformes et adapter les règles au Web 2.0|Réduire les droits des créateurs, exonérer les plateformes et limiter les contenus générés|Supprimer les licences, interdire les filtres et remplacer les autorités nationales|Privatiser les recours judiciaires, supprimer les notifications et bloquer les agrégateurs
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle directive de 2019 concerne le droit d’auteur dans le marché unique numérique ?;La directive 2019/790/UE;La directive 2000/31/CE;La directive 2001/29/CE;La directive 2022/2065/UE;-;Le document nomme la directive 2019/790/UE comme directive sur le droit d’auteur dans le marché unique numérique.;1;facile;directive-2019-790|droit-auteur;Chapitre 3 - p. 8;La directive concernée est {{la directive 2019/790/UE}}.;directive 2019/790/UE|2019/790/UE;la directive 2019/790/UE;la directive 2019/790/UE|La directive 2000/31/CE|La directive 2001/29/CE|La directive 2022/2065/UE
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quand la directive 2019/790/UE a-t-elle été adoptée et transposée en Belgique ?;Adoptée en avril 2019 et transposée en Belgique en 2022;Adoptée en juin 2000 et transposée en Belgique en 2003;Adoptée en octobre 2022 et applicable en Belgique en 2024;Adoptée en mai 2001 et transposée en Belgique en 2010;Revois les deux dates associées à cette directive.;La directive 2019/790/UE a été adoptée en avril 2019 et transposée en droit belge en 2022.;2;moyen;directive-2019-790|dates|belgique;Chapitre 3 - p. 8;La directive 2019/790/UE a été adoptée en {{avril 2019}} et transposée en Belgique en {{2022}}.;avril 2019 et 2022|adoptée en avril 2019 et transposée en Belgique en 2022;avril 2019|2022;avril 2019|2022|juin 2000|2003|octobre 2022|mai 2001
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel article de la directive 2019/790/UE vise les plateformes de partage comme YouTube ou Facebook ?;L’article 17;L’article 15;L’article 6;L’article 33;-;Le document présente l’article 17 comme la mesure visant les plateformes de partage, avec licence ou mécanismes de retrait/filtrage.;1;facile;directive-2019-790|article-17;Chapitre 3 - p. 8;L’article visant les plateformes de partage est {{l’article 17}}.;article 17|l’article 17|17;l’article 17;l’article 17|L’article 15|L’article 6|L’article 33
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Que doivent faire les plateformes de partage selon l’article 17 ?;Obtenir une licence ou mettre en place des mécanismes efficaces de retrait ou filtrage;Refuser toute licence et ignorer les notifications des titulaires de droits;Limiter leurs obligations aux contenus publiés par les autorités publiques;Désigner automatiquement un coordinateur national pour chaque contenu;Pense à l’alternative licence ou mécanismes techniques.;L’article 17 impose aux plateformes d’obtenir une licence ou de mettre en place des mécanismes efficaces de retrait ou de filtrage des contenus protégés.;2;moyen;directive-2019-790|article-17|filtrage;Chapitre 3 - p. 8;Selon l’article 17, les plateformes doivent {{obtenir une licence ou mettre en place des mécanismes efficaces de retrait ou filtrage}}.;obtenir une licence ou mettre en place des mécanismes efficaces de retrait ou filtrage;obtenir une licence ou mettre en place des mécanismes efficaces de retrait ou filtrage;obtenir une licence ou mettre en place des mécanismes efficaces de retrait ou filtrage|Refuser toute licence et ignorer les notifications des titulaires de droits|Limiter leurs obligations aux contenus publiés par les autorités publiques|Désigner automatiquement un coordinateur national pour chaque contenu
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel article crée un droit voisin pour les éditeurs de presse ?;L’article 15 de la directive 2019/790/UE;L’article 17 de la directive 2019/790/UE;L’article 16 du DSA;L’article 20 du DSA;-;Le document indique que l’article 15 crée un droit voisin pour les éditeurs de presse.;1;facile;directive-2019-790|article-15|presse;Chapitre 3 - p. 8;Le droit voisin des éditeurs de presse est créé par {{l’article 15}}.;article 15|l’article 15|article 15 de la directive 2019/790/UE;l’article 15;l’article 15|L’article 17 de la directive 2019/790/UE|L’article 16 du DSA|L’article 20 du DSA
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel est le but du droit voisin des éditeurs de presse ?;Garantir une rémunération en cas de reprise de leurs contenus par des agrégateurs;Permettre aux plateformes de reprendre gratuitement tous les contenus de presse;Interdire aux éditeurs de presse de négocier avec les agrégateurs;Réserver les contenus de presse aux réseaux sociaux sans rémunération;L’exemple donné est Google Actualités.;L’article 15 vise à garantir une rémunération lorsque les contenus de presse sont repris par des agrégateurs comme Google Actualités.;2;moyen;directive-2019-790|droit-voisin|presse;Chapitre 3 - p. 8;Le droit voisin garantit une rémunération en cas de reprise par {{des agrégateurs}}.;agrégateurs|des agrégateurs|Google Actualités;des agrégateurs;des agrégateurs|Permettre aux plateformes de reprendre gratuitement tous les contenus de presse|Interdire aux éditeurs de presse de négocier avec les agrégateurs|Réserver les contenus de presse aux réseaux sociaux sans rémunération
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel principe de rémunération la directive 2019/790/UE prévoit-elle pour les auteurs et interprètes ?;Un principe de rémunération équitable, même après cession de leurs droits;Un principe d’absence de rémunération après toute cession de droits;Un principe de rémunération réservée aux éditeurs de presse uniquement;Un principe de paiement automatique par les utilisateurs finaux uniquement;Pense à la cession des droits.;Le document mentionne un principe de rémunération équitable pour les auteurs et interprètes, même après cession de leurs droits.;2;moyen;directive-2019-790|remuneration;Chapitre 3 - p. 8;La directive prévoit une {{rémunération équitable}} pour les auteurs et interprètes.;rémunération équitable|rémunération équitable même après cession;rémunération équitable;rémunération équitable|Un principe d’absence de rémunération après toute cession de droits|Un principe de rémunération réservée aux éditeurs de presse uniquement|Un principe de paiement automatique par les utilisateurs finaux uniquement
